Player,ADP,Position
Ja'Marr Chase,1.0,WR
Bijan Robinson,2.6,RB
Saquon Barkley,2.8,RB
Justin Jefferson,4.8,WR
CeeDee Lamb,5.2,WR
Christian McCaffrey,9.4,RB
Amon-Ra St. Brown,9.4,WR
Derrick Henry,10.2,RB
Ashton Jeanty,10.6,RB
Josh Jacobs,16.8,RB
A.J. Brown,18.8,WR
Lamar Jackson,19.8,QB
Jonathan Taylor,20.4,RB
Josh Allen,21.2,QB
Trey McBride,28.0,TE
Tyreek Hill,30.4,WR
Tee Higgins,30.8,WR
Breece Hall,33.0,RB
Jalen Hurts,34.6,QB
Alvin Kamara,36.8,RB
Kenneth Walker III,38.0,RB
Garrett Wilson,38.2,WR
George Kittle,38.2,TE
Davante Adams,39.2,WR
Mike Evans,39.8,WR
Omarion Hampton,41.4,RB
Marvin Harrison Jr.,41.8,WR
Chuba Hubbard,45.0,RB
James Conner,47.2,RB
DJ Moore,49.0,WR
DK Metcalf,49.8,WR
Patrick Mahomes II,51.0,QB
Joe Mixon,55.8,RB
DeVonta Smith,56.0,WR
D'Andre Swift,57.4,RB
Xavier Worthy,57.6,WR
David Montgomery,58.6,RB
TreVeyon Henderson,59.6,RB
Travis Kelce,60.4,TE
Zay Flowers,61.2,WR
Baker Mayfield,62.2,QB
T.J. Hockenson,62.8,TE
Aaron Jones Sr.,63.8,RB
RJ Harvey,65.4,RB
Travis Hunter,65.4,WR
Tetairoa McMillan,66.2,WR
George Pickens,66.6,WR
Isiah Pacheco,66.8,RB
Calvin Ridley,68.0,WR
Bo Nix,70.0,QB
Kaleb Johnson,71.8,RB
Mark Andrews,73.6,TE
Tony Pollard,73.6,RB
Jaylen Waddle,75.8,WR
Jerry Jeudy,77.0,WR
Brian Robinson Jr.,81.6,RB
Chris Godwin,81.6,WR
Chris Olave,82.6,WR
Evan Engram,85.2,TE
Rome Odunze,85.8,WR
Kyler Murray,86.2,QB
David Njoku,87.0,TE
Stefon Diggs,87.6,WR
Cooper Kupp,88.0,WR
Deebo Samuel Sr.,88.2,WR
Tyrone Tracy Jr.,89.4,RB
Jordan Addison,89.4,WR
Jaylen Warren,93.2,RB
Jakobi Meyers,93.4,WR
Cam Skattebo,96.2,RB
Brock Purdy,101.6,QB
Travis Etienne Jr.,101.6,RB
Jared Goff,101.6,QB
Khalil Shakir,101.6,WR
Matthew Golden,101.8,WR
Quinshon Judkins,102.4,RB
Jauan Jennings,103.2,WR
Brandon Aubrey,104.4,K
Ricky Pearsall,105.2,WR
Javonte Williams,105.8,RB
Dak Prescott,106.2,QB
Denver Broncos,107.8,DST
Justin Fields,108.6,QB
Tyler Warren,110.0,TE
Tucker Kraft,112.4,TE
Rhamondre Stevenson,112.8,RB
Philadelphia Eagles,113.4,DST
Jayden Reed,114.0,WR
J.K. Dobbins,114.4,RB
Colston Loveland,115.6,TE
Caleb Williams,116.0,QB
Jordan Mason,118.4,RB
Najee Harris,118.4,RB
Emeka Egbuka,120.0,WR
Jonnu Smith,121.4,TE
Brandon Aiyuk,123.6,WR
Zach Charbonnet,123.8,RB
Josh Downs,124.2,WR
Cameron Dicker,124.8,K
Baltimore Ravens,125.6,DST
Keon Coleman,126.0,WR
Pittsburgh Steelers,127.4,DST
Michael Pittman Jr.,129.4,WR
Jake Bates,130.4,K
Jordan Love,130.6,QB
Dalton Kincaid,132.2,TE
Dallas Goedert,132.2,TE
Darnell Mooney,133.6,WR
Buffalo Bills,134.6,DST
C.J. Stroud,134.6,QB
Rachaad White,135.6,RB
Kyle Pitts Sr.,137.0,TE
Houston Texans,138.0,DST
Tyjae Spears,138.0,RB
Chase McLaughlin,138.4,K
Jake Ferguson,138.4,TE
Minnesota Vikings,140.0,DST
Austin Ekeler,140.4,RB
Drake Maye,141.2,QB
Tank Bigsby,142.6,RB
Jaydon Blue,144.4,RB
J.J. McCarthy,145.4,QB
Jayden Higgins,149.2,WR
Chris Boswell,150.6,K
Zach Ertz,152.8,TE
Rashid Shaheed,156.2,WR
Nick Chubb,156.8,RB
Tre' Harris,157.8,WR
Isaac Guerendo,158.6,RB
Ka'imi Fairbairn,160.0,K
Detroit Lions,161.2,DST
Marvin Mims Jr.,162.6,WR
Harrison Butker,162.6,K
Jake Elliott,163.0,K
Jerome Ford,164.0,RB
Trey Benson,164.4,RB
San Francisco 49ers,165.0,DST
Hunter Henry,165.6,TE
Bhayshul Tuten,166.6,RB
Trevor Lawrence,167.4,QB
Tyler Allgeier,167.6,RB
Tua Tagovailoa,169.6,QB
Marquise Brown,172.2,WR
Rashod Bateman,172.6,WR
Luther Burden III,172.6,WR
Kansas City Chiefs,173.6,DST
Cameron Ward,174.0,QB
Ray Davis,174.6,RB
Keenan Allen,174.8,WR
Christian Kirk,175.4,WR
Tyler Bass,176.4,K
Isaiah Likely,179.2,TE
Matthew Stafford,179.6,QB
Jack Bech,180.4,WR
Braelon Allen,180.6,RB
Michael Penix Jr.,181.2,QB
Jason Sanders,182.4,K
Dylan Sampson,184.2,RB
Adam Thielen,184.4,WR
Rico Dowdle,185.0,RB
Bryce Young,186.8,QB
Xavier Legette,187.4,WR
DeAndre Hopkins,188.3,WR
Chicago Bears,190.0,DST
Wil Lutz,190.2,K
Seattle Seahawks,191.0,DST
Jaylen Wright,191.2,RB
Matt Gay,191.8,K
Kyle Williams,195.2,WR
Tampa Bay Buccaneers,195.3,DST
Cincinnati Bengals,195.7,DST
Green Bay Packers,195.8,DST
Tyler Loop,195.8,K
Younghoe Koo,196.0,K
Kareem Hunt,196.2,RB
Washington Commanders,196.6,DST
Darren Waller,199.6,TE
Cairo Santos,201.0,K
Dallas Cowboys,201.2,DST
Cleveland Browns,202.3,DST
New York Giants,202.4,DST
Evan McPherson,204.8,K
New England Patriots,205.4,DST
Shedeur Sanders,205.7,QB
Jason Myers,206.5,K
Pat Freiermuth,206.6,TE
Jalen McMillan,206.8,WR
Sam Darnold,207.0,QB
Roschon Johnson,208.0,RB
Cam Little,208.3,K
Los Angeles Chargers,208.4,DST
Cade Otton,208.6,TE
Brandon McManus,209.3,K
Brenton Strange,209.6,TE
Wan'Dale Robinson,209.6,WR
Aaron Rodgers,210.0,QB
Chig Okonkwo,210.3,TE
Geno Smith,211.2,QB
Quentin Johnston,211.5,WR
Daniel Carlson,212.3,K
Cedric Tillman,213.6,WR
Los Angeles Rams,213.6,DST
DeMario Douglas,214.0,WR
Arizona Cardinals,215.2,DST
Romeo Doubs,215.8,WR
Joshua Palmer,215.8,WR
Anthony Richardson Sr.,216.6,QB
New York Jets,217.0,DST
Mike Gesicki,220.0,TE
Mason Taylor,221.3,TE
Atlanta Falcons,222.0,DST
Elijah Arroyo,223.5,TE
Blake Corum,223.7,RB
Indianapolis Colts,224.7,DST
Dont'e Thornton Jr.,225.3,WR
Miles Sanders,225.3,RB
Dalton Schultz,225.5,TE
Justice Hill,228.4,RB
Jaleel McLaughlin,231.0,RB
Samaje Perine,232.0,RB
Tyler Lockett,233.3,WR
Will Reichard,233.6,K
Jake Moody,234.6,K
Jaxson Dart,234.7,QB
MarShawn Lloyd,238.0,RB
Joshua Karty,239.0,K
Raheem Mostert,240.3,RB
Kyle Juszczyk,241.0,RB
Las Vegas Raiders,241.3,DST
Dawson Knox,241.5,TE
Calvin Austin III,242.0,WR
Alec Pierce,242.7,WR
DJ Giddens,243.7,RB
Will Shipley,244.3,RB
A.J. Dillon,245.0,RB
Zack Moss,245.3,RB
Miami Dolphins,245.3,DST
Kyle Monangai,246.0,RB
Graham Gano,248.0,K
Elijah Mitchell,248.7,RB
Cole Kmet,248.7,TE
Carolina Panthers,249.5,DST
Keaton Mitchell,249.7,RB
Russell Wilson,249.7,QB
Isaac TeSlaa,249.8,WR
New Orleans Saints,251.0,DST
Blake Grupe,251.0,K
Tank Dell,251.0,WR
Taysom Hill,251.3,TE
Justin Tucker,252.3,K
Jacksonville Jaguars,255.0,DST
Devin Singletary,257.0,RB
Andy Borregales,259.5,K
Ja'Tavion Sanders,260.0,TE
Noah Gray,261.3,TE
Tennessee Titans,261.3,DST
Jalen Nailor,263.0,WR
Kirk Cousins,263.0,QB
Jordan Travis,263.0,QB
Kendre Miller,263.5,RB
Woody Marks,265.0,RB
Trevor Etienne,265.3,RB
Dustin Hopkins,265.5,K
Jalen Milroe,267.3,QB
Ray-Ray McCloud III,268.0,WR
JuJu Smith-Schuster,268.5,WR
Tyler Higbee,268.7,TE
Antonio Gibson,270.0,RB
Ollie Gordon II,272.0,RB
Jimmy Horn Jr.,273.0,WR
Jahan Dotson,275.0,WR
Sean Tucker,275.5,RB
Andrei Iosivas,277.0,WR
Elic Ayomanor,277.5,WR
Dontayvion Wicks,278.5,WR
Joe Flacco,278.7,QB
KaVontae Turpin,279.0,WR
Kenneth Gainwell,279.0,RB
Darius Slayton,279.7,WR
Chad Ryland,281.0,K
John Samuel Shenker,281.0,TE
Juwan Johnson,281.5,TE
Mason Crosby,283.0,K
Tyler Conklin,283.5,TE
Brashard Smith,284.0,RB
Jalen Tolbert,284.0,WR
Jordan James,284.3,RB
Jacory Croskey-Merritt,284.8,RB
Darnell Washington,285.0,TE
Michael Wilson,285.7,WR
AJ Barner,286.5,TE
Pat Bryant,287.7,WR
Jaylin Noel,288.0,WR
Luke McCaffrey,288.0,WR
Diontae Johnson,288.0,WR
Luke Musgrave,289.0,TE
Ezekiel Elliott,290.0,RB
Terrance Ferguson,290.7,TE
Noah Fant,290.7,TE
Matt Barkley,291.0,QB
Hunter Renfrow,291.5,WR
Ben DiNucci,292.0,QB
Joey Slye,293.5,K
Gabe Nabers,295.0,RB
Tahj Brooks,295.3,RB
Andre Roberts,296.0,WR
Jalen Coker,296.5,WR
Tre Tucker,297.0,WR
Jaydon Mickens,298.0,WR
Kyle Shurmur,299.0,QB
Tim Patrick,300.0,WR
Emanuel Wilson,300.5,RB
Joe Milton III,301.0,QB
Nick Westbrook-Ikhine,301.0,WR
Tory Horton,302.0,WR
Godwin Igwebuike,302.0,RB
Jalen Royals,303.3,WR
Spencer Shrader,303.5,K
Dyami Brown,304.3,WR
Tyler Shough,305.0,QB
Brandin Cooks,305.0,WR
Dalvin Cook,305.0,RB
Adonai Mitchell,305.5,WR
Troy Franklin,306.3,WR
Nick Folk,306.5,K
Allen Lazard,307.0,WR
Ryan Fitzgerald,308.0,K
Tutu Atwell,308.5,WR
