Player,Team,Position,ADP
Ja'Marr Chase,CIN,WR,1.0
Bijan Robinson,ATL,RB,2.2
Saquon Barkley,PHI,RB,3.7
Jahmyr Gibbs,DET,RB,4.3
Justin Jefferson,MIN,WR,4.8
CeeDee Lamb,DAL,WR,5.2
Christian McCaffrey,SF,RB,8.5
Amon-Ra St. Brown,DET,WR,9.3
Malik Nabers,NYG,WR,9.7
Puka Nacua,LAR,WR,10.3
Derrick Henry,BAL,RB,10.3
Ashton Jeanty,LV,RB,10.3
Nico Collins,HOU,WR,13.3
Brian Thomas Jr.,JAC,WR,15.0
De'Von Achane,MIA,RB,15.2
Josh Jacobs,GB,RB,16.2
Brock Bowers,LV,TE,19.3
Drake London,ATL,WR,19.5
Jonathan Taylor,IND,RB,19.8
A.J. Brown,PHI,WR,20.0
Josh Allen,BUF,QB,20.8
Bucky Irving,TB,RB,21.3
Lamar Jackson,BAL,QB,21.5
Kyren Williams,LAR,RB,24.2
Chase Brown,CIN,RB,24.3
Ladd McConkey,LAC,WR,26.0
Trey McBride,ARI,TE,27.3
James Cook,BUF,RB,30.3
Tee Higgins,CIN,WR,30.5
Jayden Daniels,WAS,QB,30.7
Tyreek Hill,MIA,WR,32.2
Jaxon Smith-Njigba,SEA,WR,33.8
Joe Burrow,CIN,QB,34.2
Jalen Hurts,PHI,QB,35.3
Omarion Hampton,LAC,RB,37.0
Alvin Kamara,NO,RB,37.0
Breece Hall,NYJ,RB,37.3
George Kittle,SF,TE,38.0
Mike Evans,TB,WR,38.7
Davante Adams,LAR,WR,39.3
Garrett Wilson,NYJ,WR,39.7
Terry McLaurin,WAS,WR,40.7
Kenneth Walker III,SEA,RB,40.7
Marvin Harrison Jr.,ARI,WR,41.0
Chuba Hubbard,CAR,RB,45.5
TreVeyon Henderson,NE,RB,47.5
James Conner,ARI,RB,48.2
DJ Moore,CHI,WR,49.0
DK Metcalf,PIT,WR,49.3
Patrick Mahomes II,KC,QB,50.2
Sam LaPorta,DET,TE,52.5
Courtland Sutton,DEN,WR,52.7
Xavier Worthy,KC,WR,55.5
DeVonta Smith,PHI,WR,56.8
D'Andre Swift,CHI,RB,58.2
David Montgomery,DET,RB,59.2
Jameson Williams,DET,WR,59.7
Rashee Rice,KC,WR,60.3
Zay Flowers,BAL,WR,61.5
Isiah Pacheco,KC,RB,62.3
Travis Kelce,KC,TE,62.7
RJ Harvey,DEN,RB,63.0
Tetairoa McMillan,CAR,WR,63.5
Baker Mayfield,TB,QB,63.7
T.J. Hockenson,MIN,TE,64.0
Calvin Ridley,TEN,WR,64.0
George Pickens,DAL,WR,64.2
Aaron Jones Sr.,MIN,RB,64.7
Tony Pollard,TEN,RB,68.0
Travis Hunter,JAC,WR,69.7
Bo Nix,DEN,QB,71.8
Jaylen Waddle,MIA,WR,72.7
Mark Andrews,BAL,TE,74.0
Jerry Jeudy,CLE,WR,75.0
Kaleb Johnson,PIT,RB,80.2
Rome Odunze,CHI,WR,81.2
Chris Olave,NO,WR,82.0
Joe Mixon,HOU,RB,83.0
Tyrone Tracy Jr.,NYG,RB,83.0
Evan Engram,DEN,TE,84.0
Deebo Samuel Sr.,WAS,WR,84.3
David Njoku,CLE,TE,85.2
Stefon Diggs,NE,WR,87.0
Kyler Murray,ARI,QB,87.2
Jakobi Meyers,LV,WR,87.8
Jaylen Warren,PIT,RB,88.0
Cooper Kupp,SEA,WR,89.5
Ricky Pearsall,SF,WR,92.0
Tyler Warren,IND,TE,92.5
Emeka Egbuka,TB,WR,93.2
Jordan Addison,MIN,WR,94.5
Matthew Golden,GB,WR,95.0
Travis Etienne Jr.,JAC,RB,98.8
Chris Godwin Jr.,TB,WR,100.0
Brock Purdy,SF,QB,100.5
Khalil Shakir,BUF,WR,101.7
Dak Prescott,DAL,QB,102.5
Jared Goff,DET,QB,103.3
Jordan Mason,MIN,RB,105.2
Cam Skattebo,NYG,RB,105.2
Denver Broncos,missing,DST,106.5
Brandon Aubrey,DAL,K,106.7
